Index,Year,Season,State,Country,Class,Month,Latitude,Longitude
2,1990,Fall,Alaska,Valdez-Chitina-Whittier County,Class A,Unknown,55.1872,-132.7982
3,1974,Fall,Rhode Island,Washington County,Class A,September,55.2035,-132.8202
4,1972,Summer,Pennsylvania,York County,Class B,Unknown,62.9375,-141.5667
5,1984,Spring,Oregon,Yamhill County,Class B,May,61.0595,-149.7853
6,1973,Fall,Oklahoma,Washita County,Class A,September,62.77335,-141.3165
7,1971,Summer,Ohio,Washington County,Class A,Unknown,64.89139,-147.8142
8,2010,Fall,New York,Westchester County,Class A,September,32.31435,-85.16235
9,1970,Fall,Nevada,Washoe County,Class B,September,33.28375,-87.32655
10,2000,Fall,New Jersey,Warren County,Class B,September,34.95605,-86.4559
11,2016,Summer,New Hampshire,Sullivan County,Class A,June,34.5422,-86.66465
12,2018,Spring,Nebraska,Thurston County,Class B,May,34.9263,-87.02025
13,1962,Spring,North Dakota,Ward County,Class A,April,34.80405,-87.50905
14,1988,Spring,North Carolina,Yancey County,Class B,March,34.92855,-87.1105
15,1971,Summer,Montana,Stillwater County,Class B,July,33.13195,-88.17885
16,1988,Winter,Montana,Silver Bow County,Class B,December,31.4515,-88.08305
17,2007,Summer,Montana,Silver Bow County,Class A,August,33.97575,-87.45876
18,2011,Summer,North Carolina,Yancey County,Class A,August,31.58255,-87.96095
19,1987,Summer,New Jersey,Warren County,Class B,September,34.4881,-86.6333
20,2007,Winter,New Jersey,Warren County,Class A,February,34.6802,-87.00665
21,1981,Spring,New Jersey,Warren County,Class A,Unknown,31.16,-87.09069
22,1977,Summer,New Jersey,Warren County,Class B,August,33.13,-88.14999
23,2000,Spring,New Mexico,Taos County,Class B,May,33.21145,-87.35664
24,2006,Fall,New Mexico,Taos County,Class B,October,33.26035,-87.31821
25,2009,Summer,New Mexico,Taos County,Class A,July,34.7325,-86.52105
26,2011,Winter,New Mexico,Taos County,Class A,February,32.6218,-85.4258
27,1972,Summer,Nevada,Washoe County,Class A,August,33.3674,-86.64066
28,1972,Summer,Nevada,Washoe County,Class B,August,33.6205,-86.4664
29,1978,Summer,Ohio,Washington County,Class A,Unknown,33.8132,-86.7891
30,1980,Winter,Ohio,Washington County,Class A,November,32.30673,-87.24547
31,1984,Summer,Ohio,Washington County,Class A,July,31.00002,-86.99782
32,1990,Summer,Ohio,Washington County,Class A,Unknown,32.43,-85.705
33,2009,Fall,Ohio,Washington County,Class B,October,33.35,-85.625
34,1975,Summer,Pennsylvania,York County,Class B,Unknown,34.27607,-86.17524
35,1978,Summer,Rhode Island,Washington County,Class A,Unknown,33.59,-86.5
36,2006,Fall,Rhode Island,Washington County,Class B,October,32.184,-86.581
38,2004,Spring,Montana,Sanders County,Class A,March,34.71139,-86.6575
39,1979,Winter,Montana,Richland County,Class A,Unknown,30.7113,-87.91833
40,1991,Fall,Montana,Ravalli County,Class A,September,32.76967,-86.4891
41,2011,Winter,Montana,Phillips County,Class A,January,31.86801,-85.35995
42,1989,Spring,Montana,Park County,Class A,May,33.8957,-87.53395
43,1977,Summer,Montana,Missoula County,Class A,Unknown,33.8957,-87.53395
44,2010,Spring,Montana,Meagher County,Class A,May,34.70112,-87.77686
45,1978,Fall,Montana,Madison County,Class B,October,31.13586,-87.06486
46,1978,Summer,Montana,Lincoln County,Class B,July,31.34781,-86.54527
47,1977,Summer,Montana,Lewis And Clark County,Class A,August,33.41574,-88.12475
48,2019,Winter,Montana,Jefferson County,Class B,March,31.25385,-88.26291
49,1994,Fall,Montana,Granite County,Class B,September,33.82162,-85.48985
50,1982,Fall,Montana,Glacier County,Class A,Unknown,34.32279,-86.5045
51,1993,Summer,Montana,Gallatin County,Class A,June,34.47091,-86.56954
52,2007,Fall,Montana,Flathead County,Class B,October,34.29511,-86.88621
53,2012,Fall,Montana,Flathead County,Class B,September,32.48322,-86.37698
